Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Factor Value[environmental stress]	Factor Value Ontology Term[environmental stress]	Factor Value[genotype]	Factor Value Ontology Term[genotype]	Analysed
SRR1238715	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	B73 inbred line		Yes
SRR1238717	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	B73 inbred line		Yes
SRR1238718	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	B73 inbred line		Yes
SRR1238719	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	salt treatment	http://purl.obolibrary.org/obo/EO_0007185	B73 inbred line		No
SRR1238720	14 day		B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	UV light regimen	http://purl.obolibrary.org/obo/EO_0007222	B73 inbred line		No
SRR1238724	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Oh43 inbred line		Yes
SRR1663691	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Oh43 inbred line		Yes
SRR1663693	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	salt treatment	http://purl.obolibrary.org/obo/EO_0007185	Mo17 inbred line		No
SRR1663694	14 day		Mo17 inbred line	http://www.ebi.ac.uk/efo/EFO_0007590	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	UV light regimen	http://purl.obolibrary.org/obo/EO_0007222	Mo17 inbred line		No
SRR1663695	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Oh43 inbred line		Yes
SRR1663696	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Oh43 inbred line		Yes
SRR1663698	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Oh43 inbred line		Yes
SRR1663699	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	warm/hot temperature regimen	http://purl.obolibrary.org/obo/EO_0007319	Oh43 inbred line		Yes
SRR1663701	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	cold temperature regimen	http://purl.obolibrary.org/obo/EO_0007174	Oh43 inbred line		Yes
SRR1663702	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Oh43 inbred line		Yes
SRR1663704	14 day		Oh43 inbred line		seedling	http://purl.obolibrary.org/obo/PO_0007131	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	control	http://www.ebi.ac.uk/efo/EFO_0001461	Oh43 inbred line		Yes
