Run	accesion	treatment	Rep No
SRR1685963	B37	cold	1
SRR1819625	B37	cold	2
SRR1819627	B37	cold	3
SRR1685964	B37	control	1
SRR1819630	B37	control	2
SRR1819632	B37	control	3
SRR1685982	B37	heat	1
SRR1819622	B37	heat	2
SRR1819624	B37	heat	3
SRR1663693	B37	salt	1
SRR1663694	B37	UV	1
SRR1238717	B73	cold	1
SRR1819204	B73	cold	2
SRR1819205	B73	cold	3
SRR1238718	B73	control	1
SRR1819617	B73	control	2
SRR1819621	B73	control	3
SRR1238715	B73	heat	1
SRR1819196	B73	heat	2
SRR1819198	B73	heat	3
SRR1238719	B73	salt	1
SRR1238720	B73	UV	1
SRR1663695	Oh43	cold	1
SRR1663696	Oh43	cold	2
SRR1663701	Oh43	cold	3
SRR1238724	Oh43	control	1
SRR1663702	Oh43	control	2
SRR1663704	Oh43	control	3
SRR1663691	Oh43	heat	1
SRR1663698	Oh43	heat	2
SRR1663699	Oh43	heat	3
SRR1663705	Oh43	salt	1
SRR1663706	Oh43	UV	1
